Site_ID,Row,Col,X_mm,Y_mm,Sample_Num,Delta_mV,A2_mV,R_Ohms,Rs_Ohm_sq,Rs_MOhm_sq
21,10,10,-138.0,-56.0,4,587.0312,27.6550,21226950.0000,96209032.0000,96.2090
21,10,10,-138.0,-56.0,5,594.0750,27.3337,21734122.0000,98507736.0000,98.5077
21,10,10,-138.0,-56.0,6,595.3750,26.9550,22087738.0000,100110464.0000,100.1105
21,10,10,-138.0,-56.0,7,604.6900,26.8113,22553592.0000,102221904.0000,102.2219
21,10,10,-138.0,-56.0,8,608.0200,26.5662,22886936.0000,103732752.0000,103.7328
21,10,10,-138.0,-56.0,9,611.0413,26.5587,23007156.0000,104277640.0000,104.2776
21,10,10,-138.0,-56.0,10,609.6512,26.3263,23157544.0000,104959256.0000,104.9593
22,10,9,-144.0,-56.0,1,448.5875,45.3725,9886770.0000,44810796.0000,44.8108
22,10,9,-144.0,-56.0,2,500.7700,44.1900,11332204.0000,51362084.0000,51.3621
22,10,9,-144.0,-56.0,3,531.8538,43.2612,12294000.0000,55721328.0000,55.7213
22,10,9,-144.0,-56.0,4,548.6362,42.6838,12853515.0000,58257272.0000,58.2573
22,10,9,-144.0,-56.0,5,556.7350,42.3850,13135191.0000,59533940.0000,59.5339
22,10,9,-144.0,-56.0,6,563.4950,42.1125,13380707.0000,60646720.0000,60.6467
22,10,9,-144.0,-56.0,7,566.7750,41.8800,13533310.0000,61338376.0000,61.3384
22,10,9,-144.0,-56.0,8,571.3250,41.5500,13750303.0000,62321876.0000,62.3219
22,10,9,-144.0,-56.0,9,574.6725,41.2950,13916274.0000,63074124.0000,63.0741
22,10,9,-144.0,-56.0,10,575.6350,41.1725,13981055.0000,63367736.0000,63.3677
23,10,8,-150.0,-56.0,1,93.9000,99.2962,945655.0625,4286087.0000,4.2861
23,10,8,-150.0,-56.0,2,68.8225,97.1038,708752.2500,3212348.7500,3.2123
23,10,8,-150.0,-56.0,3,67.0912,95.9225,699431.8125,3170104.7500,3.1701
23,10,8,-150.0,-56.0,4,60.9775,94.4600,645537.8125,2925835.7500,2.9258
23,10,8,-150.0,-56.0,5,52.6312,93.5663,562502.5000,2549486.5000,2.5495
23,10,8,-150.0,-56.0,6,53.8613,92.7475,580730.0000,2632100.7500,2.6321
23,10,8,-150.0,-56.0,7,50.8387,92.0250,552444.9375,2503901.5000,2.5039
23,10,8,-150.0,-56.0,8,49.6087,91.1900,544015.2500,2465694.7500,2.4657
23,10,8,-150.0,-56.0,9,45.1362,90.6913,497691.3437,2255736.2500,2.2557
23,10,8,-150.0,-56.0,10,45.4425,90.0362,504713.4062,2287563.0000,2.2876
24,10,7,-156.0,-56.0,1,125.7875,46.1862,2723484.0000,12343919.0000,12.3439
24,10,7,-156.0,-56.0,2,113.4812,45.4388,2497455.2500,11319467.0000,11.3195
24,10,7,-156.0,-56.0,3,101.1450,44.5650,2269606.2500,10286764.0000,10.2868
24,10,7,-156.0,-56.0,4,90.6575,44.2337,2049509.7500,9289198.0000,9.2892
24,10,7,-156.0,-56.0,5,88.4725,43.9175,2014516.1250,9130593.0000,9.1306
24,10,7,-156.0,-56.0,6,82.4350,43.4125,1898877.2500,8606471.0000,8.6065
24,10,7,-156.0,-56.0,7,88.1175,43.0913,2044904.7500,9268327.0000,9.2683
24,10,7,-156.0,-56.0,8,88.5800,42.8587,2066789.2500,9367516.0000,9.3675
24,10,7,-156.0,-56.0,9,85.0713,42.7125,1991717.8750,9027262.0000,9.0273
24,10,7,-156.0,-56.0,10,82.1650,42.5462,1931192.5000,8752937.0000,8.7529
25,10,6,-162.0,-56.0,1,1031.3087,19.4187,53108920.0000,240710880.0000,240.7109
25,10,6,-162.0,-56.0,2,1008.4763,18.5525,54357976.0000,246372096.0000,246.3721
25,10,6,-162.0,-56.0,3,1015.1525,18.1388,55965964.0000,253660144.0000,253.6601
25,10,6,-162.0,-56.0,4,999.5687,18.0500,55377768.0000,250994208.0000,250.9942
25,10,6,-162.0,-56.0,5,965.6275,17.9300,53855412.0000,244094272.0000,244.0943
25,10,6,-162.0,-56.0,6,966.9512,17.8400,54201304.0000,245662000.0000,245.6620
25,10,6,-162.0,-56.0,7,954.1425,17.7325,53807560.0000,243877392.0000,243.8774
25,10,6,-162.0,-56.0,8,942.9850,17.7325,53178348.0000,241025552.0000,241.0256
25,10,6,-162.0,-56.0,9,960.9288,17.6112,54563348.0000,247302928.0000,247.3029
25,10,6,-162.0,-56.0,10,967.9412,17.4975,55318836.0000,250727104.0000,250.7271
